	faith_pd
Daewook.1	18.436070843000003
Daewook.10	16.032173094999997
Daewook.11	11.66619158
Daewook.12	10.226270879
Daewook.13	11.642186996
Daewook.14	16.811946893
Daewook.15	10.123152745999999
Daewook.16	13.580652235999999
Daewook.17	15.233702767
Daewook.18	9.866103880999999
Daewook.19	8.251797614000001
Daewook.2	10.984723831
Daewook.20	14.891821109
Daewook.21	8.506143196
Daewook.22	17.618767325
Daewook.23	12.225678588
Daewook.24	12.069053323
Daewook.25	18.370544629999998
Daewook.26	17.680335380000002
Daewook.27	11.618812702
Daewook.28	11.218502535
Daewook.29	7.881507453
Daewook.3	22.818402752999997
Daewook.30	15.317237632
Daewook.31	10.312546468
Daewook.32	15.691776528000002
Daewook.33	11.030697713
Daewook.34	12.083240721
Daewook.35	7.196971223
Daewook.36	13.737465837
Daewook.37	12.386195531999999
Daewook.38	9.042210902999999
Daewook.39	10.414735557
Daewook.4	15.169369203999999
Daewook.40	11.416739053
Daewook.42	20.576629323
Daewook.43	11.330905475000002
Daewook.44	18.550433886
Daewook.45	13.75781972
Daewook.46	12.692197417
Daewook.47	16.692432215
Daewook.48	12.985229153999999
Daewook.5	14.377445702000001
Daewook.51	10.98039983
Daewook.52	11.12555301
Daewook.53	11.630681886000001
Daewook.54	13.009447021
Daewook.55	12.090266857
Daewook.56	11.29981412
Daewook.57	11.12999533
Daewook.58	13.22250856
Daewook.59	11.155902551
Daewook.6	14.260425363
Daewook.60	7.034563153000001
Daewook.61	14.431494788
Daewook.62	19.697081768
Daewook.63	11.302772435000001
Daewook.64	7.554729111
Daewook.65	8.351736572
Daewook.68	17.090726701999998
Daewook.7	14.150683847
Daewook.72	14.470237865
Daewook.73	7.769919068
Daewook.74	15.480551891000001
Daewook.76	12.66603378
Daewook.77	10.701828468999999
Daewook.78	9.652266779999998
Daewook.79	14.861730018
Daewook.8	18.520226979
Daewook.80	13.16651165
Daewook.81	11.312896431999999
Daewook.82	7.609249908000001
Daewook.83	8.185134031
Daewook.9	15.214336021
stool.ASD.1.1	10.618637689
stool.ASD.12.1	18.028202093
stool.ASD.14.2	10.025540018000001
stool.ASD.19.1	10.644970742
stool.ASD.22.2	11.4199828
stool.ASD.24.1	13.301965604
stool.ASD.25.2	11.60631609
stool.ASD.3.1A	10.877337258
stool.ASD.4.1	11.542657542999999
stool.ASD.6.2	16.391429575
stool.ASD.7.2	10.622336696999998
stool.ASD.8.1	11.112550779
stool.control.13S.1B	16.251992877
stool.control.15S.2	9.115774185000001
stool.control.18S.1	14.558958188
stool.control.26S.1	14.243093755
stool.control.28S.2	9.558562524
stool.control.29C.1	14.471064645
stool.control.31C.2	13.830240643
stool.control.34C.1	14.599026064
stool.control.35C.1A	12.599228477
stool.control.36C.1	14.033431751
stool.control.37C.1	12.257269825999998
stool.control.38C.2A	14.152667206
stool.ASD.27.4	20.80306657
stool.control.30C.4	9.723596514
stool.control.32C.2.run2	12.097760007999998
stool.control.39C.3	13.35574528
stool.control.40C.4	10.622007648
