	observed_otus
Daewook.1	251
Daewook.10	234
Daewook.11	159
Daewook.12	109
Daewook.13	118
Daewook.14	232
Daewook.15	152
Daewook.16	162
Daewook.17	235
Daewook.18	104
Daewook.19	107
Daewook.2	130
Daewook.20	199
Daewook.21	119
Daewook.22	270
Daewook.23	178
Daewook.24	164
Daewook.25	259
Daewook.26	239
Daewook.27	164
Daewook.28	174
Daewook.29	118
Daewook.3	302
Daewook.30	82
Daewook.31	122
Daewook.32	210
Daewook.33	160
Daewook.34	175
Daewook.35	80
Daewook.36	209
Daewook.37	136
Daewook.38	107
Daewook.39	131
Daewook.4	223
Daewook.40	154
Daewook.42	255
Daewook.43	161
Daewook.44	281
Daewook.45	194
Daewook.46	160
Daewook.47	246
Daewook.48	183
Daewook.5	195
Daewook.51	134
Daewook.52	164
Daewook.53	184
Daewook.54	163
Daewook.55	132
Daewook.56	172
Daewook.57	163
Daewook.58	185
Daewook.59	160
Daewook.6	183
Daewook.60	105
Daewook.61	158
Daewook.62	197
Daewook.63	140
Daewook.64	105
Daewook.65	116
Daewook.68	280
Daewook.7	188
Daewook.72	204
Daewook.73	137
Daewook.74	243
Daewook.76	189
Daewook.77	133
Daewook.78	133
Daewook.79	229
Daewook.8	272
Daewook.80	180
Daewook.81	148
Daewook.82	108
Daewook.83	102
Daewook.9	202
stool.ASD.1.1	148
stool.ASD.12.1	288
stool.ASD.14.2	137
stool.ASD.19.1	132
stool.ASD.22.2	147
stool.ASD.24.1	187
stool.ASD.25.2	164
stool.ASD.3.1A	146
stool.ASD.4.1	187
stool.ASD.6.2	245
stool.ASD.7.2	133
stool.ASD.8.1	143
stool.control.13S.1B	230
stool.control.15S.2	102
stool.control.18S.1	193
stool.control.26S.1	216
stool.control.28S.2	143
stool.control.29C.1	173
stool.control.31C.2	209
stool.control.34C.1	209
stool.control.35C.1A	195
stool.control.36C.1	201
stool.control.37C.1	187
stool.control.38C.2A	201
stool.ASD.27.4	192
stool.control.30C.4	136
stool.control.32C.2.run2	182
stool.control.39C.3	172
stool.control.40C.4	138
