	Daewook.1	Daewook.10	Daewook.11	Daewook.12	Daewook.13	Daewook.14	Daewook.15	Daewook.16	Daewook.17	Daewook.18	Daewook.19	Daewook.2	Daewook.20	Daewook.21	Daewook.22	Daewook.23	Daewook.24	Daewook.25	Daewook.26	Daewook.27	Daewook.28	Daewook.29	Daewook.3	Daewook.30	Daewook.31	Daewook.32	Daewook.33	Daewook.34	Daewook.35	Daewook.36	Daewook.37	Daewook.38	Daewook.39	Daewook.4	Daewook.40	Daewook.42	Daewook.43	Daewook.44	Daewook.45	Daewook.46	Daewook.47	Daewook.48	Daewook.5	Daewook.51	Daewook.52	Daewook.53	Daewook.54	Daewook.55	Daewook.56	Daewook.57	Daewook.58	Daewook.59	Daewook.6	Daewook.60	Daewook.61	Daewook.62	Daewook.63	Daewook.64	Daewook.65	Daewook.68	Daewook.7	Daewook.72	Daewook.73	Daewook.74	Daewook.76	Daewook.77	Daewook.78	Daewook.79	Daewook.8	Daewook.80	Daewook.81	Daewook.82	Daewook.83	Daewook.9	stool.ASD.1.1	stool.ASD.12.1	stool.ASD.14.2	stool.ASD.19.1	stool.ASD.22.2	stool.ASD.24.1	stool.ASD.25.2	stool.ASD.3.1A	stool.ASD.4.1	stool.ASD.6.2	stool.ASD.7.2	stool.ASD.8.1	stool.control.13S.1B	stool.control.15S.2	stool.control.18S.1	stool.control.26S.1	stool.control.28S.2	stool.control.29C.1	stool.control.31C.2	stool.control.34C.1	stool.control.35C.1A	stool.control.36C.1	stool.control.37C.1	stool.control.38C.2A	stool.ASD.27.4	stool.control.30C.4	stool.control.32C.2.run2	stool.control.39C.3	stool.control.40C.4
Daewook.1	0.0	0.4419157359304377	0.6283345641482182	0.6666346514790373	0.6373561583197205	0.4539969527761683	0.5273596890121507	0.5590024420302447	0.45477546485030707	0.6679106576112066	0.6613302577346587	0.5547031770558342	0.4725613202847119	0.6641244277445703	0.5928855553625834	0.5720035848816194	0.5363775364893826	0.5386322707851086	0.49728133572895145	0.6287324631948784	0.567070482977642	0.7096680002493482	0.5586452593594664	0.792814144463625	0.6091299101709226	0.5623588436023607	0.613749069294596	0.5789333733026956	0.7189235014571169	0.5631693828118555	0.6224937843110566	0.6695988304995207	0.5661358797761703	0.5215355653699252	0.5740107297474458	0.5645117201490146	0.5609560766243891	0.36639278717523577	0.5690922831016416	0.4849065258369284	0.46290736103051977	0.4700049062206631	0.5818809082981762	0.5928708054202176	0.5815961561917253	0.5402561712281866	0.6257921621990962	0.5724330290362447	0.5568762373017686	0.5225668565603012	0.5310127844414528	0.5487933574618141	0.5724615314211997	0.6932564689555072	0.6006553496223761	0.578400199834553	0.5707112333402253	0.6852197557315352	0.6445878484348291	0.4625991976077422	0.515529477458763	0.4654886735244112	0.6668038127247624	0.44324621702563394	0.5266099201844828	0.631081984923195	0.6184417502036502	0.49340910279495814	0.45851592832275334	0.4813727911107791	0.6256967886879573	0.6844846516717051	0.6654396566151295	0.4908221690418212	0.5568883727057634	0.38897147898709494	0.5626229850496131	0.5474261088235559	0.5532176930132732	0.47443478864085353	0.52793527317796	0.5708009152308655	0.5362167453765885	0.4318331312728439	0.5660913036763378	0.5746023167700445	0.4788104607963906	0.627695127034517	0.5437831061632277	0.4927042659254138	0.5898367456026813	0.530998408966636	0.49488123428748193	0.48246383530975917	0.4919073668537605	0.4650443881032635	0.5079314070099967	0.4465486576996189	0.6225566580476847	0.5546942127924263	0.5391607480974908	0.4974706735316718	0.53387722951074
Daewook.10	0.4419157359304377	0.0	0.6056155537282761	0.648814762559963	0.6392817732592478	0.5196363742095529	0.5075345485116134	0.5424840562567977	0.46627152788037574	0.6292647789248499	0.5896791266694819	0.5514262456175846	0.48525425106732956	0.6273183637105872	0.563475374099607	0.5461861707496168	0.5291076686274574	0.5288803465508544	0.5195781119612427	0.6068380471055758	0.570710110514956	0.6712525939286664	0.5722345163184741	0.7722013914207528	0.598042987053181	0.5651282997150979	0.5972090169963075	0.5914433636338828	0.705459065192905	0.5807217690914588	0.596056574329092	0.6457487056238206	0.5595325212381476	0.47805301373815245	0.5321435898888058	0.4829135499198394	0.536819191464896	0.4468887824824423	0.5512398791337675	0.4770282776279535	0.46799992254831285	0.48433011255034786	0.5691254388725815	0.49510134369766035	0.54988535586641	0.4733797729539268	0.6106988649711214	0.5840182019979019	0.5101333231235163	0.4994482646409544	0.49005984198070607	0.5401406227651542	0.5444865799633051	0.6638617272876076	0.5832879138952995	0.6100036498410467	0.6213244911566749	0.6720689581966796	0.6103096847517512	0.4154711312886181	0.5057335022690161	0.5078996808346405	0.6327759849712233	0.3993815192724993	0.5533780103369745	0.5781624358768354	0.581446715096484	0.48035229600402735	0.3759081659089501	0.47218346027244257	0.5732451981416973	0.6613804917438728	0.6467633804165103	0.34434894735765714	0.5506126849213401	0.47165155498821965	0.5397374437351319	0.5288646334068718	0.4972585327025424	0.4461225852475591	0.5183157348495329	0.5314135557551328	0.5352761271356907	0.4274194642108701	0.5630095792353381	0.5953663642838685	0.5007431066167648	0.5935119820083996	0.5315605441861271	0.4675606523208179	0.5295744232677255	0.5748911913113495	0.4984261541163939	0.5003031440331582	0.46296756353288426	0.4171459759975161	0.45124682800347793	0.44941821912771635	0.6454713551451947	0.5144800582446307	0.5040580071479837	0.4495353773853981	0.5286085773781722
Daewook.11	0.6283345641482182	0.6056155537282761	0.0	0.3734226513998627	0.424227189732977	0.5078497258830412	0.5097181878352605	0.5017427623511503	0.5402225250711289	0.4025503559613177	0.4562429385755657	0.4338508966717655	0.49506070808587077	0.45928812292122584	0.613138591936498	0.383621230291862	0.4301522618575294	0.5269475932887833	0.51783525353674	0.43037043914669554	0.4743184826378973	0.49884945548091214	0.6059585884807706	0.7590664491971388	0.4527350753995222	0.44432294633603575	0.4942656716243719	0.44355969605729995	0.5873164281423903	0.49454998926581284	0.4288716771629103	0.4389682573952762	0.4654018893565912	0.48353112724262587	0.5088835037639099	0.662522116530235	0.44832038965654136	0.5946636618794087	0.4550317566185517	0.5335909932852948	0.5432588939172435	0.45953102503384674	0.4014570861835259	0.5519415803249909	0.4665400182993022	0.49961247682974297	0.4380166936075227	0.5161527238472631	0.4678881155143448	0.4582112549264921	0.4454321945601774	0.5274933683563134	0.4358796716816065	0.5657701089944435	0.5572293734658229	0.6773373570080162	0.5564074300986745	0.500028198390644	0.48638798035249686	0.6601245843066845	0.4885459471209174	0.5381156472928482	0.6112044436981872	0.6033648549950569	0.5135676703124417	0.47999938402542713	0.38586781648916313	0.5227857224534734	0.5992401955529532	0.445428460204889	0.422800396088277	0.5387483121787178	0.5202934045748389	0.516081374825672	0.4992593741276626	0.5813379481519236	0.4691722550884834	0.5165739729576168	0.5393002399081498	0.5749791475785081	0.48110030706684415	0.45337634205357785	0.5253206368607236	0.6429326640442005	0.5031647534631595	0.5201140510661131	0.5561695467193185	0.4756062064446026	0.48187562547259755	0.5025627346595247	0.47010718256018014	0.5281438824088835	0.5559987007780534	0.564410568211616	0.4761843436943431	0.6093298434118078	0.531856763729111	0.5306455364361939	0.6754952963968729	0.5387464464863151	0.5628425047673515	0.5986811679010132	0.5386513722140592
Daewook.12	0.6666346514790373	0.648814762559963	0.3734226513998627	0.0	0.3302469519260627	0.5723151932542107	0.529626486088293	0.5117487195659655	0.6277154654572358	0.3543167314363774	0.48762815871325743	0.529492862984703	0.5524058389696768	0.4948799113351746	0.6352856373951588	0.44176790586094206	0.48939376584495803	0.5552394610730835	0.559032302809543	0.5082240295741505	0.5337080268391214	0.5693151052980593	0.6663001422322257	0.7439725953547901	0.49710298918953394	0.451660857626505	0.5556858012847181	0.5660333950406103	0.6022364992673233	0.559770130876752	0.45604987773787103	0.46896736094220287	0.5126445526202467	0.5545787092491505	0.5452707789808834	0.7009890675675534	0.5109928372139774	0.6541445791567272	0.46081478258571335	0.5799905682323808	0.6209987201815659	0.5384020841676972	0.47286257540898896	0.5606736199163209	0.5537948064360986	0.5705049073833329	0.44432009016407725	0.5243400615139125	0.5198020981386157	0.5452617062754103	0.5006666715665136	0.5613182388328505	0.43306641006271535	0.5596115884579854	0.5788033950271406	0.7007249049265875	0.5962965690728849	0.5355292437335056	0.5389042519075913	0.6968711495222476	0.5604040538882786	0.5984336162509344	0.6522926196977209	0.6567326234124925	0.60125454626824	0.45288737484286945	0.47591189005018497	0.5569005983920142	0.6256902198219125	0.5239454191759392	0.467371739237383	0.6125503149296537	0.5324055521005595	0.5733962522088208	0.5592827643700589	0.646322899265307	0.5330977044827323	0.5565974468200477	0.5831431457122199	0.6443094969963815	0.5417195880604734	0.4960704393182352	0.5859474653212771	0.6786969252238749	0.5887072936640138	0.5695447122776186	0.6270255632461931	0.4979247497646802	0.5065627661260554	0.5660141119404465	0.49626716727934433	0.5089942819353099	0.6093326144160931	0.5844886667898957	0.5522520681312653	0.6526390851433717	0.583043284966994	0.5853295494230428	0.7327694756738549	0.5690965403107308	0.618953923998454	0.6370170898380274	0.5649656377872917
Daewook.13	0.6373561583197205	0.6392817732592478	0.424227189732977	0.3302469519260627	0.0	0.5480683268042319	0.5097121042722492	0.5301594861319986	0.6224250250289229	0.39471672921852635	0.5471948073883858	0.5028716079833486	0.5260575714164464	0.4707536565968015	0.6446033307448837	0.4628723812773248	0.4370938194481356	0.518990362467106	0.585402791960586	0.44507338972527444	0.48694488847321205	0.49951370707539344	0.6379385879414755	0.733393344087166	0.488028202261411	0.4671844328205302	0.5424007030997848	0.4894328156068887	0.5939679053890677	0.5634364030855971	0.5268547003021865	0.4619845023664252	0.48123577963207903	0.5436046957482802	0.4891388954855639	0.6819605613525034	0.48509091371704116	0.6242115788446502	0.4920202232273028	0.5225912010657411	0.6213192717285037	0.49028480956008547	0.4921024274387241	0.5515384855254044	0.5377310606282343	0.5368567630985007	0.38659448961582366	0.5353008638986088	0.5125236964067283	0.5300192460969017	0.462042926933374	0.5311111939343016	0.45941096802143605	0.515530897822753	0.6308551698301514	0.6757196308513052	0.5124665154664865	0.5190152619326133	0.4875097236964904	0.6892869214319373	0.5363680464602029	0.5511277057275078	0.6542281624867023	0.613831795702333	0.5597322450256857	0.48789958444294124	0.4897584654632413	0.5344719462533775	0.6246022400086997	0.49834476045808546	0.45381427749688424	0.5588989601016828	0.49925162804669687	0.5551530510078222	0.5088974931445946	0.6234478765068922	0.5050927380299796	0.49846740027473735	0.5279389990046908	0.5826061126638479	0.5046679225001861	0.47781056685914725	0.594864448559217	0.6419006366667838	0.5923069281123219	0.4883173793697861	0.5928973094134837	0.4464694830672118	0.4650632147737038	0.5441788551594876	0.4879445148046571	0.5379006313046931	0.5899354918351101	0.5559607676170772	0.515110498913074	0.6062348243535213	0.5697542664641922	0.5561622649110741	0.7065115143361179	0.5456787375173037	0.6046123219548981	0.6164629607426153	0.5377136765042856
Daewook.14	0.4539969527761683	0.5196363742095529	0.5078497258830412	0.5723151932542107	0.5480683268042319	0.0	0.5249890170336362	0.5503362359010024	0.47282089869872834	0.5667413079467002	0.609141070885748	0.5213888446559879	0.4533294483557703	0.596235024007577	0.6144920229126711	0.5038394621094546	0.49010131864722384	0.5016500197145589	0.4856722558336571	0.5092097177902221	0.5030636281183966	0.6383593248852065	0.5791294476468984	0.7703156725355536	0.579689631729629	0.46362815533878654	0.5622024236290409	0.5161759183866044	0.7252858643504256	0.496476923298245	0.5681003206913613	0.5744836068403069	0.5561404986883292	0.47832108322436345	0.5523615864442891	0.6010494198863094	0.5001222173596998	0.4575583923159659	0.5056172866869513	0.5151312061969758	0.45921066716311815	0.4531270330849148	0.47149273566243544	0.5983672754845075	0.5352665599827432	0.5283985557240076	0.5205577185749011	0.5669053862996942	0.4992252009978005	0.5133569456368792	0.45732939544845547	0.5572032542441728	0.46746800189080695	0.6593520193872637	0.631230509609748	0.6062142335012631	0.5740936174671825	0.6710500190017578	0.5899425200176596	0.570247114920967	0.4390525028048389	0.449974686465254	0.6551133433383363	0.5093925043231834	0.5413684111021208	0.5917724718328817	0.5555128448854507	0.5009210652902056	0.514112896713029	0.4749963041126291	0.560357927787248	0.6417867344856347	0.6224605852514304	0.5022252999108276	0.5360943661833599	0.4594610438122155	0.5666716760320268	0.4926713479198134	0.5407926980177605	0.5326252375805445	0.5008236585323634	0.5368057298078835	0.5314335798584613	0.5180351390448482	0.551320125025199	0.5417666346990856	0.4951104410014506	0.5535660792646914	0.4611180551187202	0.44414551166742966	0.5711408176177789	0.5244359447216841	0.5185287274150513	0.45769227943659724	0.46580464529204035	0.5315115170948603	0.5267285943272921	0.4667658094256984	0.6315302123228863	0.5367899302794931	0.5205232110117485	0.5472213509079018	0.5666421466363643
Daewook.15	0.5273596890121507	0.5075345485116134	0.5097181878352605	0.529626486088293	0.5097121042722492	0.5249890170336362	0.0	0.548943606791235	0.5300183463337563	0.49883121117444384	0.5126431963325797	0.47218698660171343	0.5154609788869297	0.5034593109258393	0.5731174710788678	0.46443025606985117	0.42422722060166973	0.578024657477475	0.6286422800905997	0.5445992963363984	0.4702126042998828	0.5585264813836512	0.6100888473499451	0.7576391839420539	0.4672337144323575	0.547583424946483	0.5341923078943872	0.5057145386954613	0.599024044050426	0.5589294065697267	0.6301263337107275	0.5274277621332965	0.4280905903501422	0.5281269850477512	0.4642162159445403	0.6131757339166997	0.4732971319588139	0.5455387536175368	0.5557558467381144	0.41545593246292467	0.5300240511833308	0.4081854886327159	0.5479857938826769	0.44823152721427156	0.46802426944646247	0.45315031282019436	0.5536058390185278	0.5519486942408112	0.4385919715229487	0.40153255598683074	0.41345957249351123	0.4291152272990372	0.5488850281134429	0.5052032564829506	0.6134604252123238	0.6221514308097609	0.5087227891764284	0.5051934552960324	0.4681658411313008	0.5777878441978654	0.5363580301664684	0.48730446921986786	0.5008108080458114	0.4648886636772585	0.4987322806519344	0.5324882429596188	0.45098824918967984	0.4736286877763448	0.5761009532555195	0.4260223114624028	0.5146125264318829	0.5641171586224953	0.5337430599213342	0.4896859824285234	0.4511528355534711	0.5466297403780298	0.45584405014558366	0.41408436991415426	0.4439156765652619	0.46259442755076596	0.4046476389211216	0.4356818852770653	0.48504214554889663	0.5291969302464016	0.515359433083499	0.46376341809637495	0.5051791003621199	0.40296603475056153	0.5072108439038604	0.48057906816060314	0.41350917594663056	0.5613095793139231	0.47191322413591125	0.4946463703750747	0.4341303256156534	0.5099915129156259	0.4363912382818221	0.4503326684187365	0.6546001094683274	0.37684182568805086	0.4869208262984447	0.46606489515287025	0.4033491358147416
Daewook.16	0.5590024420302447	0.5424840562567977	0.5017427623511503	0.5117487195659655	0.5301594861319986	0.5503362359010024	0.548943606791235	0.0	0.519544627829753	0.509724888801493	0.5428509214100941	0.4931788147907428	0.4573758051543866	0.5459837881683548	0.5771818182685621	0.47587855897257153	0.4681735941298167	0.5220804538184176	0.49315753163883347	0.5127866798760626	0.4792886565952067	0.6143967218419509	0.5596944409235973	0.7642783164933393	0.5057532284728973	0.46467742178185073	0.519197278763303	0.5096543225050548	0.5941289655512122	0.48759854729693913	0.5264592762894306	0.5766135333122806	0.5332199851817252	0.47826715673770037	0.6051864002526083	0.6266133782661629	0.4922253153689525	0.47818271461930417	0.514392459591323	0.5390176158511915	0.48597718083399133	0.5237996924357357	0.47978208630581276	0.6318640123983135	0.5406212748682652	0.5399769896007697	0.5252131391800281	0.46818586101911347	0.47045522626296843	0.5204342879772033	0.4709043141292922	0.5839809940479066	0.4610903146073721	0.6329780573574982	0.5399535179817643	0.6341120833396018	0.5231811428977575	0.5861582664902615	0.5514026648469413	0.62514659343178	0.47512630842351866	0.5134628252179213	0.6383079967484341	0.5481256799314731	0.5222084189648472	0.5631662285317145	0.500403735483637	0.5391832975819769	0.5764897992374308	0.5195622531686331	0.4683615117656824	0.5788172247704526	0.5427658593092983	0.5524002786442086	0.5318844521365292	0.5042027858436106	0.5589885351748772	0.4998891316038362	0.5989784682748814	0.5463302950146408	0.48133518002771924	0.5287555613509942	0.5331443670668043	0.5618150848630783	0.5472974624338156	0.49368028847704576	0.48694941651443535	0.5374899573505818	0.4382914622477656	0.497177384318698	0.5270167612375269	0.4989119365252101	0.4944702066069211	0.5112832160940178	0.49133075629912204	0.592247944696371	0.5551101690031662	0.5047217313971133	0.6729647955889186	0.5790325985016663	0.5754131052697384	0.5099629440145236	0.5530703482443798
Daewook.17	0.45477546485030707	0.46627152788037574	0.5402225250711289	0.6277154654572358	0.6224250250289229	0.47282089869872834	0.5300183463337563	0.519544627829753	0.0	0.6392391857543128	0.6077339003502945	0.48982675437509465	0.4707682924729877	0.6211330100613792	0.5705182237466608	0.5271660534786283	0.468223882597875	0.5172946747782483	0.486751436705979	0.5792101809842389	0.5135242891537392	0.6378776109162566	0.5796606397106296	0.8003932919040764	0.5895857175019068	0.49488029221031726	0.5609770525747512	0.5105745314760249	0.7024030357510328	0.4859470334413143	0.5526168428108733	0.6178579883430864	0.49988498663745184	0.4038694688779129	0.5565259048949465	0.5251192738137282	0.530054989048927	0.4246524861036265	0.5467587950815526	0.4638971442862855	0.39929613362064675	0.44209379986350067	0.530323142348983	0.5778497617424818	0.5138322785243914	0.4429062765521124	0.560557474877832	0.5344517227139408	0.516555542288286	0.43883564456813595	0.5242879156981219	0.5014443389214945	0.5500420176965618	0.6464509580036581	0.5482381545379412	0.6027919205875698	0.5569707684376756	0.6488450344009836	0.5944438213069992	0.5221216515710569	0.466454440713479	0.4831961605086839	0.6076649177981728	0.4368775214378827	0.5130958303309006	0.5979489756981617	0.5200969115563128	0.4654150506172092	0.4944764737524523	0.42995470103265104	0.5936109794877241	0.6181445210211848	0.6157569463497897	0.46963192499915296	0.5372801705082981	0.42554488007229746	0.5120238311970022	0.5216676927284967	0.5155867660535655	0.4689507132515273	0.4743369799728041	0.5297635779040747	0.503114116017064	0.46710771722437083	0.4724544787098767	0.5476397727054405	0.4673100963139509	0.60064756511844	0.5061260752845338	0.45433568724757345	0.5545581346753162	0.5183322337455376	0.4549705739147599	0.4441139833343663	0.4152318958066195	0.5042081725080299	0.5165114026006724	0.46606725804124444	0.6121499767385806	0.5192554865501608	0.4365309822524642	0.48605219341211486	0.5310976029052965
Daewook.18	0.6679106576112066	0.6292647789248499	0.4025503559613177	0.3543167314363774	0.39471672921852635	0.5667413079467002	0.49883121117444384	0.509724888801493	0.6392391857543128	0.0	0.4562476754281794	0.489591294503963	0.5798385182081959	0.44778897101936194	0.6269040630510615	0.3924901599565034	0.48265181539534546	0.5687022756331899	0.5777221298138426	0.4774872599052797	0.5134970256340379	0.5120406307684594	0.6552602364918231	0.7150468806561711	0.44115968081917356	0.5017543812672619	0.4892004027934438	0.5239113146543589	0.5471482612297472	0.5630074105813079	0.5030215738160513	0.44805106874492245	0.4994192922656733	0.5533353193507565	0.522144214180173	0.6996353417242571	0.4633696547131375	0.6515262910659698	0.48830498855214677	0.5484879319149638	0.6061319315640596	0.5138176217860267	0.4552814182233548	0.5495932390271832	0.5592035339657005	0.5472149790528423	0.4138775449886588	0.5391293436016455	0.4885908579552752	0.556671134175074	0.500948697442818	0.570998159400287	0.47022719823317854	0.5487436268412313	0.607649087874581	0.7048842102856772	0.5605135720013563	0.4506827003376225	0.4734143261148536	0.6816745732980535	0.5218943615346537	0.5705340308748167	0.59910140118296	0.6251943081220551	0.5663055709031343	0.4558373101866306	0.46996889819948817	0.5618159239249069	0.6159410629645481	0.5031831633888294	0.4433546553171851	0.5405220117132713	0.515384848469148	0.5762322918230989	0.5377468572152272	0.650510109466002	0.5431105472894107	0.4928268302881375	0.5466062141233522	0.6159588633332973	0.5101267180153799	0.4933165324716335	0.55165214395561	0.6402632716310143	0.5509842849401456	0.49340449442808404	0.5853202437290437	0.42901417376957757	0.4935981078336568	0.5747590671523413	0.4852947564073943	0.5556921910577047	0.5839045840098472	0.5872194114865551	0.5498465340820615	0.6144163945327477	0.5809187131946119	0.5851414416250641	0.722944289256819	0.5500630465042283	0.6243052666989328	0.6015650636595632	0.5364006537245642
