	Daewook.1	Daewook.10	Daewook.11	Daewook.12	Daewook.13	Daewook.14	Daewook.15	Daewook.16	Daewook.17	Daewook.18	Daewook.19	Daewook.2	Daewook.20	Daewook.21	Daewook.22	Daewook.23	Daewook.24	Daewook.25	Daewook.26	Daewook.27	Daewook.28	Daewook.29	Daewook.3	Daewook.30	Daewook.31	Daewook.32	Daewook.33	Daewook.34	Daewook.35	Daewook.36	Daewook.37	Daewook.38	Daewook.39	Daewook.4	Daewook.40	Daewook.42	Daewook.43	Daewook.44	Daewook.45	Daewook.46	Daewook.47	Daewook.48	Daewook.5	Daewook.51	Daewook.52	Daewook.53	Daewook.54	Daewook.55	Daewook.56	Daewook.57	Daewook.58	Daewook.59	Daewook.6	Daewook.60	Daewook.61	Daewook.62	Daewook.63	Daewook.64	Daewook.65	Daewook.68	Daewook.7	Daewook.72	Daewook.73	Daewook.74	Daewook.76	Daewook.77	Daewook.78	Daewook.79	Daewook.8	Daewook.80	Daewook.81	Daewook.82	Daewook.83	Daewook.9	stool.ASD.1.1	stool.ASD.12.1	stool.ASD.14.2	stool.ASD.19.1	stool.ASD.22.2	stool.ASD.24.1	stool.ASD.25.2	stool.ASD.3.1A	stool.ASD.4.1	stool.ASD.6.2	stool.ASD.7.2	stool.ASD.8.1	stool.control.13S.1B	stool.control.15S.2	stool.control.18S.1	stool.control.26S.1	stool.control.28S.2	stool.control.29C.1	stool.control.31C.2	stool.control.34C.1	stool.control.35C.1A	stool.control.36C.1	stool.control.37C.1	stool.control.38C.2A	stool.ASD.27.4	stool.control.30C.4	stool.control.32C.2.run2	stool.control.39C.3	stool.control.40C.4
Daewook.1	0.0	0.26141045440509797	0.35491045650739084	0.3871245153532228	0.29928352856005347	0.23056340126860553	0.24825675294269606	0.17982581931850164	0.2647166094155474	0.47871926004367615	0.4321632499073003	0.21662572559224066	0.2786447501856442	0.28137820059662666	0.18483672857622102	0.21922374218621787	0.2069061201942573	0.21112592660980625	0.3509396343822111	0.34427336123752117	0.29944026793672224	0.2596612629672244	0.2344726018746464	0.3985440725596984	0.38497117819601645	0.3822342639449395	0.23324259020299307	0.17629656441377956	0.337137878411108	0.23133773103071117	0.4292659472071266	0.3524570172810114	0.25872748719032823	0.20556410800681862	0.3245667287432352	0.21681977283332726	0.29874883189987766	0.1647476151666546	0.3268412054685895	0.22450427293149558	0.2620700996564958	0.2818856460697852	0.36396962798459404	0.2904464514322426	0.17435303251220177	0.19587735144993002	0.2750610769955371	0.29333747054737186	0.23521911261040526	0.1897935477771104	0.2027596120527037	0.18776149610282972	0.3511250213785835	0.31675096226875993	0.3230801394322448	0.25121055198331027	0.3105179436311382	0.2054212349869699	0.35446597105320604	0.30799019116417925	0.27794340690765296	0.2601567481001777	0.2843392000006781	0.2070515694089623	0.3948828515920281	0.3714839565317049	0.22363094203385753	0.17332518418633822	0.2390206385136536	0.2132823380436603	0.40304662144958786	0.32365463024893776	0.2160521701300557	0.2533696465998612	0.2371741189345509	0.1836517987237703	0.22203641133143848	0.26022847313100106	0.2694330412282506	0.2064214513576583	0.2252819597447502	0.3393718831023377	0.2606384725472535	0.24872955428889854	0.2509198306315699	0.38832483933918865	0.20851763138348084	0.372489577056034	0.1579748017397618	0.20751297839089441	0.24703270877226813	0.18925675352494276	0.20481646971345543	0.29814480874036237	0.18898083332626142	0.3386626850203174	0.29035687784110126	0.19114921428597972	0.2140046372729704	0.40301221928991926	0.21619903164939844	0.35618227695238536	0.3741867882316655
Daewook.10	0.26141045440509797	0.0	0.2646080399690528	0.29100227085574226	0.3580382511848977	0.24571864681074376	0.24829173746806918	0.27808261371476084	0.21787011076502938	0.4823999380553463	0.31145977740807074	0.27636205056454394	0.1855802277007459	0.22616287673680505	0.25454547169500863	0.2835358783986125	0.29864825923776256	0.2829110959435166	0.40280312257302275	0.42864752341749357	0.3998092776984033	0.3147752660964151	0.2695006625641563	0.44583114449382205	0.29102420362253684	0.32898417565759336	0.32660204100861	0.21193338680505625	0.4453776414474951	0.26745997230815566	0.32273797769464485	0.29749640927158943	0.32596484384017865	0.1891609497262404	0.39417169279373904	0.21533977418791114	0.21101054451578752	0.2680864985234584	0.18846625831402894	0.2723006863301298	0.21490728476380042	0.2849965069100196	0.31703039179601894	0.17196600851204907	0.22917833032267385	0.19427228067556493	0.337608296031411	0.43804353667466667	0.29904308458351353	0.2118172923781311	0.26841845414984206	0.2226429263698828	0.2736081650699738	0.383673619285722	0.2789420773799866	0.32902294464910464	0.42428496872803984	0.2661969477734422	0.44787876664562226	0.22027281058259024	0.20114604249873827	0.3579582146479446	0.35015575588032216	0.21754450774962206	0.481213696920632	0.24690187254903734	0.333289471329853	0.2350233682573162	0.1669506732002898	0.2664538592753787	0.3283758374714195	0.3747078756267662	0.26749099244567187	0.11765357017624722	0.2890564786394758	0.24472147097956837	0.239174025275869	0.3336477078551599	0.28755542811426554	0.2488302972190184	0.29704195503592706	0.3987298587615501	0.23705415065267596	0.24076285158665572	0.33912778129516274	0.4709866656509359	0.3191568841643108	0.48576668544226964	0.2537579842432849	0.254256137870727	0.23605213392835486	0.2585433114858809	0.20971718914583043	0.39728809207729876	0.25171799217532786	0.30881959778201934	0.12327482927724757	0.26978993371154525	0.30310129549655673	0.32783180948308777	0.29443841416378036	0.3237269840629193	0.34878676971371936
Daewook.11	0.35491045650739084	0.2646080399690528	0.0	0.1648863161227824	0.3257607176499981	0.1805856247217525	0.3898562541196968	0.26542298841478823	0.32001457487094837	0.4314774280826151	0.1624142373826164	0.3148784315679196	0.21420677674640287	0.17773871481096293	0.3509843450226739	0.2790638240390725	0.3554528777060698	0.2866146328690844	0.40437498079019824	0.43282921126666296	0.44052024718756133	0.351888182841792	0.31865554866301365	0.4478600619640408	0.1388598318150945	0.28495912774459986	0.399513360832983	0.29637563868764216	0.3594348537670835	0.2591892396270873	0.36946587694084304	0.1368652882305924	0.42833578688148966	0.24781610006093438	0.4504612459784895	0.3226914729616142	0.2900687088156135	0.35551306374557573	0.19487168264817345	0.37927315517292615	0.3320368550344405	0.44741031939138787	0.3086460492304036	0.2740255043471988	0.29720441374988654	0.32843143520318274	0.33953147620330265	0.42134763142803633	0.41470975502248963	0.32871582115270165	0.3837268052529474	0.3301089642265243	0.1835770199719768	0.422937739517066	0.29193072982417284	0.44867140817835943	0.48332204114350735	0.35514950865514094	0.5306316048515998	0.3550344451592185	0.22381434848997359	0.4705142192899599	0.4315397393279999	0.4051662932128052	0.5414426516910256	0.14556114008536417	0.3858066881122616	0.2744011824714962	0.25514979146443095	0.3201786331780322	0.321604527164982	0.4413240031115836	0.3370051825743341	0.2542047404755703	0.40659013467866767	0.40910743037271224	0.31343194663404705	0.44544459693738647	0.4288989372326916	0.36295314063497985	0.3538676394648891	0.5135927524843894	0.354697283812983	0.40226308062083277	0.42525253608982344	0.543112120293033	0.406231834405466	0.5291380682478523	0.3048162846186484	0.3781595416060687	0.2881185624728956	0.3650248553593969	0.3352622495795743	0.4906252528691643	0.33130555028529035	0.43393605750534414	0.22744868070218152	0.3979137489191273	0.4124886872392685	0.47525741338467475	0.42511292297049524	0.43547373776635684	0.473704516982791
Daewook.12	0.3871245153532228	0.29100227085574226	0.1648863161227824	0.0	0.3328100404736367	0.21328124699014997	0.40039875096920435	0.29422229953786727	0.34870567942424674	0.351991179959594	0.2607434897437217	0.36066961757242394	0.30734128803788346	0.20418923740147035	0.37167065123282694	0.3123096592791551	0.39160077274270877	0.3292681937642147	0.40055191047804245	0.4741638769680353	0.49310800105937636	0.38217800274979635	0.3307908459546597	0.4567528328266937	0.23698874603161313	0.3397112590970778	0.4192730522920916	0.32637020907277137	0.37633328988708836	0.2767110420956167	0.38762814570048737	0.1548767060987798	0.4279037043224199	0.2688146764856666	0.4892536113828701	0.3511034692418374	0.31911440156538684	0.380076229999799	0.2647931629332512	0.3766595028873325	0.35171793057875517	0.4584995551476473	0.3217678703693926	0.309355824917666	0.3053587296733354	0.32708696320377695	0.3531084723300479	0.44539452110200833	0.43359175352015267	0.326303130199515	0.39722288166600606	0.3407147461210952	0.17813431167415808	0.46178365947341804	0.3077302783546018	0.4557140112145085	0.5184932167023308	0.37186180586995915	0.5430890472354061	0.3934957846355698	0.2709813632379174	0.4872248334075287	0.4645559397108687	0.4114215583945432	0.5702358426997304	0.22406689705376812	0.42844556162733927	0.30085735143003467	0.28193585416852956	0.361674374088689	0.3474689839612593	0.4724915961232167	0.3651938041310543	0.2747978186574479	0.4194665608674037	0.42246293492347126	0.33857824107731066	0.468802097411432	0.4297281644952534	0.38773348065697005	0.3971456248801893	0.5062597752529436	0.36698376602859345	0.42997276537541484	0.4316080796566639	0.5857259092098387	0.43628262307335147	0.5643122016781934	0.3307406696291682	0.3903886859164301	0.3170964303609593	0.3522587310509514	0.3469583088619534	0.49958076546231317	0.36904206358961034	0.45406188596489205	0.26549944311082085	0.4179923110371627	0.42213677132595495	0.48882866060666735	0.4181169964441865	0.45717155161865436	0.48648604954947494
Daewook.13	0.29928352856005347	0.3580382511848977	0.3257607176499981	0.3328100404736367	0.0	0.3031877317831939	0.3775116360959797	0.208840207610258	0.3906379895953964	0.458925220513718	0.42686199018628807	0.1555910337701519	0.36835491003412146	0.28940826668479314	0.21242224423095793	0.2612058853607378	0.2180979588207376	0.3043139364561887	0.45103199219848317	0.186570119848096	0.2154319637361949	0.2721553825487348	0.33101612031448474	0.43367761030367435	0.4067895174905829	0.45450500243469133	0.22365588416121923	0.2406899526649972	0.18773655132507525	0.29461233800083003	0.5000308923977935	0.29941536216554177	0.3297556538790106	0.29687293248547214	0.2294095268370854	0.34591564558706717	0.3681406938265941	0.34254426943936567	0.36379220726929806	0.1678957193633933	0.3922278245786409	0.40254810018071746	0.43812260333291897	0.33424273894486917	0.23650900983665832	0.25081173902178105	0.17729537465139475	0.29600547780797404	0.21169605437624964	0.21105947863422958	0.20534523554227432	0.27952674192620414	0.32802465401362874	0.17648411010642295	0.4303887698215433	0.21079404457700635	0.2445874074865087	0.22298960862589767	0.2729996443276762	0.4284225381492623	0.3108740250314284	0.22390965141561467	0.20060111623256216	0.29115576860014436	0.29162878415319	0.3695364655145124	0.23614912078958006	0.18938766381605296	0.35282173336971123	0.21177654364439377	0.44880426184547584	0.2130063875534797	0.21871020704096067	0.30352153026731904	0.28488260599457477	0.285375591517616	0.3125305692531813	0.24929207496915307	0.33687928235586556	0.21588148852403413	0.1702792475319523	0.27191850377664295	0.38078149612238726	0.3964790787376481	0.31431714308308645	0.30090719403510374	0.26209347482571127	0.2830471704060563	0.2324513695043789	0.20499006027391173	0.2970283893308657	0.29410929866625524	0.30743098812340586	0.23657805236178417	0.22839884474114588	0.40605943211156437	0.3397402285296781	0.26877952282329215	0.19859738427606174	0.4773770864913502	0.24233325984840748	0.4321719928901011	0.4576866558276528
Daewook.14	0.23056340126860553	0.24571864681074376	0.1805856247217525	0.21328124699014997	0.3031877317831939	0.0	0.29097363236777074	0.18155025270834765	0.27947480613710163	0.4537961811971465	0.2458958717701123	0.22304734244096747	0.234603959960236	0.15218328010745721	0.2633620912891203	0.1882974111796804	0.26278213198043626	0.19508694505737192	0.34759055465062605	0.37836744774528747	0.34934380530832193	0.28682739247304145	0.26617789580701406	0.4071338837612255	0.20206539607770843	0.3201990114147599	0.31028204804491966	0.20499653173055513	0.34295940838770683	0.200218735626248	0.4076665664107319	0.19610148276878378	0.32707075793948315	0.18634436046645422	0.3732697160732209	0.22709145435782077	0.2649715979935032	0.2513924542638169	0.22643703766091264	0.28224179006427147	0.2949757867107238	0.34238608121402286	0.3096121216156067	0.26176124763936864	0.21282366616867984	0.22186893940771069	0.2588737886931716	0.36481829511793384	0.32305754823085353	0.22678026578481184	0.2850094756448809	0.2235439435779483	0.23704211633565858	0.35733199063372173	0.3238201904342685	0.34257526242828995	0.3919847844263506	0.2635248582354779	0.4359317866933984	0.337145864711501	0.2291797020920014	0.36925052727447183	0.33999811411476366	0.2947064283374853	0.4501256299654876	0.1890560123175308	0.29958734740105525	0.21122629163971837	0.2351545418948131	0.24038711720271247	0.3406376835085381	0.3732364154849854	0.2595715246818104	0.21181010357850455	0.31045055195096066	0.2888965501768846	0.22514918443850054	0.3497248882831713	0.3258083755202795	0.2586735996020285	0.27385866396556463	0.40995431389694154	0.27915746571212435	0.29834415612482895	0.32576888466216686	0.45859369455956817	0.30100160271723325	0.43182640899459923	0.1892356018468641	0.26786566372558474	0.21907450457773148	0.2584168354762979	0.2366652449751231	0.38900742301904717	0.24282578667914698	0.34959263986700756	0.21078448755953616	0.28472553987617744	0.3058854564355701	0.4073344281325975	0.32387128034795687	0.36770321225263813	0.39769466040212903
Daewook.15	0.24825675294269606	0.24829173746806918	0.3898562541196968	0.40039875096920435	0.3775116360959797	0.29097363236777074	0.0	0.3053739224294803	0.23879898612915557	0.4727672855379189	0.45396974814910995	0.2961056931477366	0.28527041418796845	0.3135281454559541	0.2505950742537753	0.30004651365706986	0.282183169331979	0.2990943633127068	0.4209689172128192	0.41267765749224417	0.37374012696965075	0.29988618287893665	0.22432285886066827	0.45772331991415305	0.4214724776742761	0.4016881309329047	0.2662019277196201	0.23310615968529375	0.41810452687746286	0.29341309620628186	0.3689440886604457	0.38344043861251986	0.23557026369636178	0.24959265914187817	0.36569031908037936	0.24235883041207873	0.272883612897507	0.25584015531696935	0.34078644517322676	0.26165191950485156	0.22883520587854705	0.28038086579821236	0.37478318648440107	0.2295382439973801	0.22023666951004447	0.21484309128175574	0.36637883377971164	0.42726115700791545	0.2386405991371566	0.2350007629386247	0.23339767150675486	0.20151031917546075	0.39183833105318355	0.3625442027749324	0.3855173358766996	0.29569648405113136	0.3560532003384565	0.2285546780806962	0.3822843926004548	0.24655037933459184	0.2801529048957809	0.28207722142018254	0.3228454729606127	0.2300705433416917	0.44346821506086825	0.39828747023440847	0.2742766246848011	0.26402485447107144	0.3192812786638826	0.28834996868847573	0.40188734125018244	0.34760465419165554	0.25176237806050633	0.2198353062452337	0.22023429214270815	0.2535276692229435	0.16437058883268343	0.21842071318244266	0.29063680762175154	0.2760735553967169	0.2837150460211498	0.3388001670688589	0.20387850487049713	0.21581682608669894	0.26170105025018375	0.4326523635060635	0.2971871754025323	0.4441708568345856	0.25288990265792466	0.24234437958136804	0.24958385781235032	0.22822831651418304	0.1966434200095805	0.3678824940426947	0.24338006494880685	0.33312572652003564	0.29192202524767225	0.2509010052073496	0.2744334484797524	0.3545690778067593	0.23973138688440498	0.3442226719511863	0.2832341913645898
Daewook.16	0.17982581931850164	0.27808261371476084	0.26542298841478823	0.29422229953786727	0.208840207610258	0.18155025270834765	0.3053739224294803	0.0	0.30388986975618937	0.46059331278352433	0.3488805985774494	0.14026971823494208	0.24314465454375514	0.18530566071480542	0.16080041112388527	0.12047566883477524	0.16377561165156093	0.190331844095099	0.3375607573346673	0.2752274723636012	0.24831836170204646	0.20304382961601994	0.2564824143739674	0.3658466603868488	0.3094435177033386	0.3110718034416763	0.20538072911847072	0.14505973277848175	0.2322540712818404	0.18591636753632468	0.4068518327166118	0.28582289242685166	0.24349617499179127	0.181305307601771	0.2850789838453686	0.2227766679220913	0.25845369454057415	0.21121081537183045	0.24653407051501103	0.19250137958302627	0.300246104102964	0.32980265765407774	0.3073329924237918	0.2702660747903579	0.15062517682141424	0.18591435230778447	0.18000911271877054	0.2610586954888619	0.2254773113066187	0.14360526996953293	0.1920409839263798	0.1914017732478815	0.2643061659033222	0.2641595135564534	0.3185607844827402	0.24781122033726563	0.28495482960798696	0.18020653534658815	0.3351092243682829	0.34799665241769273	0.23142901615549585	0.2742831830884678	0.24527352067792788	0.2268433423689983	0.36186902872936155	0.2785853854447418	0.19157419515698046	0.1451631142534179	0.2651238978299736	0.14633240441974033	0.3664154389172432	0.28844211900900424	0.18802660596841766	0.22720401008724941	0.23491115658868073	0.20793372952550826	0.22472922628444642	0.25964991256929665	0.2781028295485417	0.1884789491861277	0.18298214810365016	0.3249495941735987	0.2865535394970515	0.30504481880324813	0.2445598134896277	0.3532304947545203	0.21731406009921359	0.34030385955100073	0.11783898942173068	0.17554464875960793	0.19844665604700307	0.20021144015213954	0.22510911177044876	0.29136548823020914	0.16039868676873106	0.3505586037270761	0.24995209911979568	0.19290334606360357	0.21986238439468797	0.4231008797855192	0.23286801692933148	0.37220012613865516	0.4055487379475769
Daewook.17	0.2647166094155474	0.21787011076502938	0.32001457487094837	0.34870567942424674	0.3906379895953964	0.27947480613710163	0.23879898612915557	0.30388986975618937	0.0	0.45135123501788676	0.36891997777591606	0.30650781135050764	0.21939619628939527	0.26551787411692757	0.28683367899627105	0.296276394158467	0.2814041296134114	0.2984553865211271	0.38014853166131346	0.4075631889649363	0.38670506280320854	0.30414767950345745	0.2235842479580788	0.4416745776758105	0.357610011722006	0.32556782027990316	0.3208230298339384	0.24715334241094694	0.42919820638474493	0.28155512596932236	0.30803813646147216	0.3471099208738735	0.27539953066584655	0.2141836868224329	0.3851289824900054	0.2534554009042657	0.2436814849746972	0.26369094071602006	0.2791335027990953	0.3099117727658292	0.19619238060728564	0.3200784393972738	0.3075393656953192	0.2712148821798228	0.24287035866421988	0.2669433200241301	0.3810189525124695	0.4387806316479435	0.2887853179457885	0.25684400795634327	0.27054617765747757	0.23191892427377025	0.3062195663938269	0.37103534739175836	0.30780998237976454	0.3129682148125968	0.4000447800512476	0.2768368537591596	0.43593163642621924	0.2538329589163011	0.22886095803662396	0.30195855548000705	0.3353029120602236	0.27326096303721537	0.4613016500913575	0.3207606253296903	0.2712579138815776	0.2549454860341485	0.24225251199788714	0.29608574110512415	0.36468929092256785	0.37467330558906087	0.2705392396935728	0.20925591037185404	0.25716612429918717	0.28505982751265824	0.1797468455205398	0.3526138030467269	0.3539806406638048	0.2921800261187849	0.29612961667991444	0.39124774630694636	0.15721902465568316	0.24179716096651224	0.24468153743657006	0.4967722500289991	0.2812730010575768	0.48833494981394027	0.26528876716107447	0.2854578856011016	0.2426546835200165	0.26395155233958867	0.19460821782372145	0.3762645293977705	0.2374915222127263	0.3493573800082827	0.24106959461207952	0.2953181841822863	0.2806335467081196	0.3751030817338909	0.24903796282981697	0.35696461410737584	0.3922974661413686
Daewook.18	0.47871926004367615	0.4823999380553463	0.4314774280826151	0.351991179959594	0.458925220513718	0.4537961811971465	0.4727672855379189	0.46059331278352433	0.45135123501788676	0.0	0.5230282254276016	0.4888436947516845	0.4814191017744152	0.42719183173790254	0.4748139424606638	0.4660672535402782	0.5032124927353191	0.4638164129086427	0.49125373760423735	0.5568510133403268	0.5712288189306441	0.4832135161515373	0.4250743707206398	0.5418477340257462	0.48807799718320843	0.4883596941972384	0.48824635765185737	0.4712817868080078	0.44941421529043674	0.403431774674616	0.5399473534801301	0.36516929257457437	0.5103301490778935	0.42723740139404165	0.5648124868571531	0.4627986980645453	0.45966392512338444	0.4941362561201075	0.49757339133772976	0.5061997468123695	0.46789652020662414	0.5293177857077952	0.48068618457752854	0.4705029174414546	0.42870790683980553	0.48211686127707415	0.5154654511038973	0.5027329088425128	0.4983798440525485	0.4738517503293358	0.4877710339689905	0.4426490979533826	0.40342092423222314	0.5392242766085815	0.4764470674614306	0.5302601100459431	0.5791086101475778	0.4506090854602715	0.5967818394481125	0.5141523184055157	0.4338620743440089	0.5451401189360714	0.5518164060300706	0.496790117054899	0.6194280961366735	0.47816630124362014	0.5050475205917958	0.41507326337492484	0.4680020457722565	0.5002500255016961	0.4750773481794097	0.5382318079631745	0.4455647646034403	0.43985098145495827	0.48344873396101956	0.5089715584053277	0.430020366707174	0.5415298558657752	0.5176556986089362	0.48407173157522376	0.49117978024394676	0.5814819955600438	0.44272718369847947	0.4800161058751077	0.49068467508782493	0.6156475188095776	0.521143012316178	0.6269287592810506	0.4486568061979273	0.5052021584647527	0.4383659224182848	0.5046982438166203	0.4398129670365555	0.5682889837659095	0.46388060066812625	0.5217050218315187	0.47131957036854133	0.5016336090982727	0.49512438162226013	0.5634722282374116	0.5035317377998014	0.5105301554683099	0.5548569663539243
