taxa		variable	sigP	t_value	fdr.p	bonferroni.p
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis	0.015776625	ASD	0.3	-1.05	1	1
		GI Score	0.17	-1.38	1	1
		change between AZ and CO	0.33	-0.97	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__	0.010034108	ASD	0.43	-0.79	1	1
		GI Score	0.25	-1.15	1	1
		change between AZ and CO	*  0.01	2.54	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	0.014114151	ASD	*  0.02	2.32	1	1
		GI Score	0.08	-1.76	1	1
		change between AZ and CO	0.1	-1.65	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__	0.011002245	ASD	0.86	-0.18	1	1
		GI Score	0.61	-0.51	1	1
		change between AZ and CO	0.07	-1.81	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__	0.020981177	ASD	*  0	-2.87	1	1
		GI Score	0.38	0.88	1	1
		change between AZ and CO	0.07	1.86	1	1
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus	0.01252177	ASD	*  0.01	2.56	1	1
		GI Score	0.75	-0.31	1	1
		change between AZ and CO	0.6	-0.52	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	0.035862703	ASD	*  0	-3.43	1	1
		GI Score	0.76	0.3	1	1
		change between AZ and CO	0.08	1.79	1	1
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__copri	0.011805047	ASD	0.25	-1.15	1	1
		GI Score	0.99	0.01	1	1
		change between AZ and CO	*  0	3.21	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	0.014013771	ASD	*  0	-3.01	1	1
		GI Score	0.42	0.81	1	1
		change between AZ and CO	0.85	-0.19	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__.1	0.04945291	ASD	*  0	-2.97	1	1
		GI Score	0.21	1.26	1	1
		change between AZ and CO	1	0	1	1
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis	0.018812436	ASD	0.16	1.41	1	1
		GI Score	0.46	0.74	1	1
		change between AZ and CO	*  0.03	2.18	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Sarcina.s__	0.020650688	ASD	*  0	3.06	1	1
		GI Score	0.09	-1.73	1	1
		change between AZ and CO	0.22	1.24	1	1
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__	0.02168407	ASD	0.15	1.46	1	1
		GI Score	0.3	-1.04	1	1
 		change between AZ and CO	*  0.01	-2.77	1	1
