# Constructed from biom file																																																																																																													
#OTU ID	Daewook.1	Daewook.10	Daewook.11	Daewook.12	Daewook.13	Daewook.14	Daewook.15	Daewook.16	Daewook.17	Daewook.18	Daewook.19	Daewook.2	Daewook.20	Daewook.21	Daewook.22	Daewook.23	Daewook.24	Daewook.25	Daewook.26	Daewook.27	Daewook.28	Daewook.29	Daewook.3	Daewook.30	Daewook.31	Daewook.32	Daewook.33	Daewook.34	Daewook.35	Daewook.36	Daewook.37	Daewook.38	Daewook.39	Daewook.4	Daewook.40	Daewook.42	Daewook.43	Daewook.44	Daewook.45	Daewook.46	Daewook.47	Daewook.48	Daewook.5	Daewook.51	Daewook.52	Daewook.53	Daewook.54	Daewook.55	Daewook.56	Daewook.57	Daewook.58	Daewook.59	Daewook.6	Daewook.60	Daewook.61	Daewook.62	Daewook.63	Daewook.64	Daewook.65	Daewook.68	Daewook.7	Daewook.72	Daewook.73	Daewook.74	Daewook.76	Daewook.77	Daewook.78	Daewook.79	Daewook.8	Daewook.80	Daewook.81	Daewook.82	Daewook.83	Daewook.9	stool.ASD.1.1	stool.ASD.12.1	stool.ASD.14.2	stool.ASD.19.1	stool.ASD.22.2	stool.ASD.24.1	stool.ASD.25.2	stool.ASD.3.1A	stool.ASD.4.1	stool.ASD.6.2	stool.ASD.7.2	stool.ASD.8.1	stool.control.13S.1B	stool.control.15S.2	stool.control.18S.1	stool.control.26S.1	stool.control.28S.2	stool.control.29C.1	stool.control.31C.2	stool.control.34C.1	stool.control.35C.1A	stool.control.36C.1	stool.control.37C.1	stool.control.38C.2A	stool.ASD.27.4	stool.control.30C.4	stool.control.32C.2.run2	stool.control.39C.3	stool.control.40C.4						
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	309	74	0	0	0	0	0	49	26	0	0	0	0	0	11	0	0	0	470	0	0	0	16	0	0	0	0	0	0	0	1	0	0	204	0	82	0	478	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	337	0	0	0	0	9	0	0	0	28	0	0	0	0	292	0	0	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0						
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;__;__;__;__;__	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	3	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	4	0	0	1	0	0	0	0						
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	1	2	2	2	4	0	2	0	4	3	3	6	7	0	0	0	4	1	0	0	0	9	16	4	5	1	2	0	1	9	4	0	4	1	0	2	0	1	0	0	0	8	2	2	0	8	1	0	0	1	0	4	0	0	0	0	0	1	0	4	0	0	0	0	2	3	8	1	0	7	0	3	6	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0	0	2	24	1	2	0	0	0	0	0	0	0	0	0	0	0	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0	0	0	0	0	54	0	0	0	0	0	0	1	1	0	0	0	2	1	1	0	2	11	68	1	2	0	0	0	0	1	1	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Gordonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2						
