Genus.species	Random Forest Importance	variable	p value uncorrected	t_value
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	0.015558974	ASD	0.18	-1.35
 		GI Score	0.81	-0.24
 		change between AZ and CO	*  0.01	-2.64
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__	0.013004344	ASD	0.58	-0.56
 		GI Score	0.06	-1.88
 		change between AZ and CO	0.23	-1.2
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	0.01175317	ASD	0.46	-0.74
 		GI Score	*  0.03	2.17
 		change between AZ and CO	0.88	-0.15
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella	0.02027553	ASD	0.05	1.97
 		GI Score	0.61	-0.52
 		change between AZ and CO	*  0.04	-2.03
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	0.019208582	ASD	0.17	1.39
 		GI Score	0.15	1.44
 		change between AZ and CO	0.12	1.56
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	0.014487172	ASD	0.08	1.77
 		GI Score	0.15	-1.47
 		change between AZ and CO	0.08	1.77
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	0.014476193	ASD	0.19	-1.32
 		GI Score	0.67	-0.42
 		change between AZ and CO	*  0	3.19
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	0.016365771	ASD	0.58	0.55
 		GI Score	0.11	1.6
 		change between AZ and CO	*  0.01	2.83
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	0.016450601	ASD	0.14	-1.5
 		GI Score	*  0	3.01
 		change between AZ and CO	0.48	-0.71
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	0.014411486	ASD	0.6	-0.53
 		GI Score	0.34	-0.96
 		change between AZ and CO	0.72	-0.36
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	0.013569752	ASD	0.62	-0.5
 		GI Score	0.15	-1.45
 		change between AZ and CO	*  0	-3.45
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	0.02681289	ASD	0.13	-1.53
 		GI Score	0.85	-0.19
 		change between AZ and CO	0.09	1.7
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	0.018903759	ASD	0.66	-0.45
 		GI Score	0.27	-1.1
 		change between AZ and CO	0.56	-0.58
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	0.015209883	ASD	0.32	-0.99
 		GI Score	0.9	0.13
 		change between AZ and CO	0.96	-0.06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	0.02109887	ASD	0.45	0.75
 		GI Score	0.33	-0.97
 		change between AZ and CO	0.37	-0.89
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Sarcina	0.018166437	ASD	*  0.01	2.61
 		GI Score	0.14	-1.49
 		change between AZ and CO	0.2	1.3
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	0.015189646	ASD	0.9	0.13
 		GI Score	0.46	-0.75
 		change between AZ and CO	0.61	0.51
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	0.017186885	ASD	0.36	-0.91
 		GI Score	0.78	-0.28
 		change between AZ and CO	0.05	1.96
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	0.011535253	ASD	0.33	-0.99
 		GI Score	0.31	1.03
 		change between AZ and CO	0.17	1.37
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	0.025009813	ASD	0.47	0.73
 		GI Score	0.1	-1.66
 		change between AZ and CO	*  0	-3.55
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium	0.013227036	ASD	0.07	-1.8
 		GI Score	0.57	0.58
 		change between AZ and CO	0.46	-0.75
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	0.018451293	ASD	0.45	-0.76
 		GI Score	0.58	0.56
 		change between AZ and CO	0.13	-1.54
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	0.018156003	ASD	0.08	-1.79
 		GI Score	0.46	-0.74
 		change between AZ and CO	*  0.01	-2.82
