	stool.ASD.6.2	stool.ASD.6.4	stool.ASD.7.1	stool.ASD.7.2	stool.ASD.7.3	stool.ASD.7.4	stool.ASD.12.1	stool.ASD.12.2	stool.ASD.14.1	stool.ASD.14.2	stool.ASD.14.3	stool.ASD.22.1	stool.ASD.22.2	stool.ASD.22.3	stool.ASD.22.4	stool.ASD.24.1	stool.ASD.24.2	stool.ASD.27.2	stool.ASD.27.4	stool.ASD.27.5
stool.ASD.6.2	0	13.7113092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stool.ASD.6.4	13.7113092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stool.ASD.7.1	0	0	0	7.745966692	10.72380529	10.63014581	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stool.ASD.7.2	0	0	7.745966692	0	5.196152423	5.385164807	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stool.ASD.7.3	0	0	10.72380529	5.196152423	0	5.477225575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stool.ASD.7.4	0	0	10.63014581	5.385164807	5.477225575	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
stool.ASD.12.1	0	0	0	0	0	0	0	12.28820573	0	0	0	0	0	0	0	0	0	0	0	0
stool.ASD.12.2	0	0	0	0	0	0	12.28820573	0	0	0	0	0	0	0	0	0	0	0	0	0
stool.ASD.14.1	0	0	0	0	0	0	0	0	0	5.830951895	5.477225575	0	0	0	0	0	0	0	0	0
stool.ASD.14.2	0	0	0	0	0	0	0	0	5.830951895	0	7.615773106	0	0	0	0	0	0	0	0	0
stool.ASD.14.3	0	0	0	0	0	0	0	0	5.477225575	7.615773106	0	0	0	0	0	0	0	0	0	0
stool.ASD.22.1	0	0	0	0	0	0	0	0	0	0	0	0	7.280109889	4.795831523	11.95826074	0	0	0	0	0
stool.ASD.22.2	0	0	0	0	0	0	0	0	0	0	0	7.280109889	0	8.831760866	16.0623784	0	0	0	0	0
stool.ASD.22.3	0	0	0	0	0	0	0	0	0	0	0	4.795831523	8.831760866	0	8.602325267	0	0	0	0	0
stool.ASD.22.4	0	0	0	0	0	0	0	0	0	0	0	11.95826074	16.0623784	8.602325267	0	0	0	0	0	0
stool.ASD.24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.61895004	0	0	0
stool.ASD.24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.61895004	0	0	0	0
stool.ASD.27.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10.44030651
stool.ASD.27.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8.366600265
stool.ASD.27.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.44030651	8.366600265	0
