	stool.ASD.6.4	stool.ASD.7.1	stool.ASD.7.2	stool.ASD.7.3	stool.ASD.7.4	stool.ASD.12.2	stool.control.13S.1B	stool.control.13S.2	stool.ASD.14.1	stool.ASD.14.2	stool.control.15S.1	stool.control.15S.2	stool.control.15S.3	stool.control.15S.4	stool.ASD.22.1	stool.ASD.22.2	stool.ASD.22.3	stool.ASD.22.4	stool.ASD.24.1	stool.ASD.24.2	stool.ASD.27.1	stool.ASD.27.2	stool.ASD.27.4	stool.ASD.27.5	stool.control.28S.2	stool.control.28S.3	stool.control.30C.1	stool.control.30C.3	stool.control.30C.4	stool.control.30C.5	stool.control.31C.1	stool.control.31C.3	stool.control.32C.1	stool.control.32C.2.run2	stool.control.32C.3	stool.control.38C.1.ASU	stool.control.38C.2A	stool.control.39C.1	stool.control.39C.2	stool.control.39C.3	stool.control.39C.4	stool.control.40C.1	stool.control.40C.2	stool.control.40C.4	stool.control.40C.5
stool.ASD.6.4	0.0	10.4880884817	10.0498756211	5.0	12.409673646	12.409673646	13.2287565553	13.2287565553	11.5325625947	12.409673646	12.2474487139	12.2474487139	11.1803398875	13.2287565553	12.409673646	13.2287565553	13.2287565553	12.4899959968	13.2287565553	13.2287565553	11.2249721603	12.5299640861	9.64365076099	10.246950766	12.8840987267	12.8840987267	12.409673646	12.5299640861	12.124355653	11.7473401245	13.2287565553	13.2287565553	10.0	12.4899959968	13.2287565553	13.2287565553	13.2287565553	13.2287565553	13.2287565553	13.2287565553	13.2287565553	12.409673646	12.409673646	12.8840987267	12.409673646
stool.ASD.7.1	10.4880884817	0.0	1.0	6.7082039325	3.74165738677	3.74165738677	5.9160797831	5.9160797831	4.79583152331	6.63324958071	3.16227766017	3.16227766017	5.9160797831	5.9160797831	6.63324958071	5.9160797831	5.9160797831	5.83095189485	5.9160797831	5.9160797831	6.16441400297	4.58257569496	3.60555127546	5.0	6.0	5.47722557505	3.74165738677	5.19615242271	5.9160797831	5.47722557505	5.9160797831	5.9160797831	7.07106781187	5.83095189485	5.9160797831	5.9160797831	5.9160797831	5.9160797831	5.9160797831	5.9160797831	5.9160797831	6.63324958071	6.63324958071	6.0	6.63324958071
stool.ASD.7.2	10.0498756211	1.0	0.0	6.0	3.87298334621	3.87298334621	6.0	6.0	4.24264068712	6.2449979984	3.31662479036	3.31662479036	5.09901951359	6.0	6.2449979984	6.0	6.0	5.9160797831	6.0	6.0	5.74456264654	4.69041575982	2.82842712475	4.472135955	5.9160797831	5.56776436283	3.87298334621	5.09901951359	5.83095189485	5.38516480713	6.0	6.0	7.14142842854	5.9160797831	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.2449979984	6.2449979984	5.9160797831	6.2449979984
stool.ASD.7.3	5.0	6.7082039325	6.0	0.0	8.88819441732	8.88819441732	10.0	10.0	7.61577310586	8.88819441732	8.66025403784	8.66025403784	7.07106781187	10.0	8.88819441732	10.0	10.0	9.53939201417	10.0	10.0	7.81024967591	9.05538513814	5.29150262213	6.32455532034	9.53939201417	9.53939201417	8.88819441732	9.05538513814	9.05538513814	8.54400374532	10.0	10.0	8.66025403784	9.53939201417	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.88819441732	8.88819441732	9.53939201417	8.88819441732
stool.ASD.7.4	12.409673646	3.74165738677	3.87298334621	8.88819441732	0.0	0.0	3.0	3.0	3.0	4.24264068712	2.0	2.0	5.38516480713	3.0	4.24264068712	3.0	3.0	3.16227766017	3.0	3.0	4.472135955	2.2360679775	4.35889894354	4.79583152331	3.16227766017	3.16227766017	0.0	2.2360679775	3.31662479036	3.46410161514	3.0	3.0	5.83095189485	3.16227766017	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.24264068712	4.24264068712	3.16227766017	4.24264068712
stool.ASD.12.2	12.409673646	3.74165738677	3.87298334621	8.88819441732	0.0	0.0	3.0	3.0	3.0	4.24264068712	2.0	2.0	5.38516480713	3.0	4.24264068712	3.0	3.0	3.16227766017	3.0	3.0	4.472135955	2.2360679775	4.35889894354	4.79583152331	3.16227766017	3.16227766017	0.0	2.2360679775	3.31662479036	3.46410161514	3.0	3.0	5.83095189485	3.16227766017	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.24264068712	4.24264068712	3.16227766017	4.24264068712
stool.control.13S.1B	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.13S.2	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.ASD.14.1	11.5325625947	4.79583152331	4.24264068712	7.61577310586	3.0	3.0	4.24264068712	4.24264068712	0.0	3.0	3.60555127546	3.60555127546	2.82842712475	4.24264068712	3.0	4.24264068712	4.24264068712	4.35889894354	4.24264068712	4.24264068712	3.31662479036	3.74165738677	3.16227766017	3.74165738677	3.60555127546	4.35889894354	3.0	2.82842712475	3.74165738677	3.87298334621	4.24264068712	4.24264068712	6.5574385243	4.35889894354	4.24264068712	4.24264068712	4.24264068712	4.24264068712	4.24264068712	4.24264068712	4.24264068712	3.0	3.0	3.60555127546	3.0
stool.ASD.14.2	12.409673646	6.63324958071	6.2449979984	8.88819441732	4.24264068712	4.24264068712	3.0	3.0	3.0	0.0	5.83095189485	5.83095189485	5.38516480713	3.0	0.0	3.0	3.0	3.16227766017	3.0	3.0	1.41421356237	3.31662479036	4.35889894354	3.31662479036	2.0	3.16227766017	4.24264068712	2.2360679775	2.2360679775	2.44948974278	3.0	3.0	5.83095189485	3.16227766017	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	0.0	2.0	0.0
