Sample ID	pielou_e
#q2:types	numeric
stool.ASD.1.1	0.707446643
stool.ASD.12.1	0.793059856
stool.ASD.12.2	0.83554702
stool.ASD.14.1	0.749808923
stool.ASD.14.2	0.719529632
stool.ASD.14.3	0.783626672
stool.ASD.19.1	0.725372602
stool.ASD.22.1	0.748991319
stool.ASD.22.2	0.759600313
stool.ASD.22.3	0.776262854
stool.ASD.24.1	0.79793446
stool.ASD.24.2	0.829608496
stool.ASD.25.2	0.740772982
stool.ASD.27.1	0.731942919
stool.ASD.27.2	0.819844128
stool.ASD.3.1A	0.587764924
stool.ASD.3.1B	0.761352901
stool.ASD.4.1	0.70811937
stool.ASD.6.1	0.84279101
stool.ASD.6.2	0.715771254
stool.ASD.7.1	0.689519643
stool.ASD.7.2	0.487099177
stool.ASD.7.3	0.724457612
stool.ASD.7.4	0.740663237
stool.ASD.8.1	0.665391301
stool.control.13S.1A	0.816375533
stool.control.13S.1B	0.773590669
stool.control.13S.2	0.825519344
stool.control.15S.1	0.773774103
stool.control.15S.2	0.684408844
stool.control.15S.3	0.76977344
stool.control.18S.1	0.805496281
stool.control.26S.1	0.778052037
stool.control.28S.2	0.782630346
stool.control.29C.1	0.76144234
stool.control.30C.1	0.772893794
stool.control.30C.3	0.711670873
stool.control.31C.1	0.786432333
stool.control.31C.2	0.75190218
stool.control.32C.1	0.741197867
stool.control.32C.2.run1	0.746179435
stool.control.32C.3	0.75408426
stool.control.34C.1	0.757772766
stool.control.35C.1A	0.788342807
stool.control.35C.1B	0.74554966
stool.control.36C.1	0.689761534
stool.control.37C.1	0.796166316
stool.control.38C.2A	0.815088447
stool.control.38C.2B	0.803044283
stool.control.39C.1	0.721387723
stool.control.39C.2	0.783811999
stool.control.40C.1	0.741744489
stool.control.40C.2	0.663684424
stool.ASD.12.2.ASU	0.766592064
stool.ASD.14.4	0.781882453
stool.ASD.14.4.ASU	0.73040871
stool.ASD.22.4	0.569083919
stool.ASD.22.4.ASU	0.749016598
stool.ASD.24.1.ASU	0.740320887
stool.ASD.27.4	0.76160783
stool.ASD.27.4.ASU	0.721130175
stool.ASD.27.5	0.737080473
stool.ASD.6.4	0.715286053
stool.ASD.7.4.ASU	0.704071792
stool.control.15S.4	0.762912187
stool.control.15S.4.ASU	0.735483841
stool.control.26S.1.ASU	0.814183088
stool.control.28S.3	0.831704435
stool.control.30C.4	0.618552977
stool.control.30C.5	0.582645363
stool.control.31C.3	0.797624157
stool.control.32C.1.ASU	0.723002162
stool.control.32C.2.run2	0.765919743
stool.control.38C.1.ASU	0.790214525
stool.control.39C.3	0.657082145
stool.control.39C.4	0.644903693
stool.control.40C.4	0.65057249
stool.control.40C.5	0.648792937
