	stool.ASD.22.1	stool.ASD.6.2	stool.ASD.6.1	stool.control.15S.1	stool.control.15S.3	stool.control.31C.3	stool.ASD.22.4	stool.control.40C.4	stool.control.40C.2	stool.control.40C.5	stool.ASD.6.4	stool.control.30C.5	stool.control.30C.3	stool.ASD.7.3	stool.ASD.7.1	stool.ASD.14.1	stool.ASD.14.3	stool.control.13S.1B	stool.control.30C.1	stool.ASD.24.2	stool.control.32C.3	stool.control.38C.2A	stool.control.39C.1	stool.control.39C.2	stool.control.13S.2	stool.ASD.7.2	stool.control.40C.1	stool.control.39C.4	stool.ASD.27.4	stool.ASD.27.5	stool.ASD.22.2	stool.control.31C.1	stool.control.39C.3	stool.control.15S.2	stool.ASD.22.3	stool.ASD.7.4	stool.control.28S.2	stool.ASD.24.1	stool.ASD.27.1	stool.ASD.12.1	stool.ASD.14.4	stool.control.28S.3	stool.ASD.12.2	stool.control.30C.4	stool.control.32C.1	stool.control.32C.2.run2	stool.control.38C.1.ASU	stool.ASD.14.2	stool.control.15S.4	stool.ASD.27.2	stool.control.31C.2
stool.ASD.22.1	0.0	0.46672722246690335	0.4683549499751696	0.38897835714290935	0.34064038895212523	0.44729833440371486	0.25578733162033224	0.4062038994473593	0.411612313595721	0.4370677532340809	0.4410171569663894	0.3843763753747811	0.3900571927113645	0.48762400074754697	0.405698520577807	0.39721999938644686	0.3888293195277544	0.5135786085301327	0.5025566892679533	0.4642732619810496	0.47128381531954133	0.4464683476554172	0.4343805452405303	0.38635030239345086	0.4361686887067735	0.4672847576020159	0.41366882207991723	0.4099971937408819	0.49300372998974207	0.5276955761590939	0.26444005286985034	0.4702542463170053	0.4082206535934388	0.3796049781936732	0.2178303223220394	0.46813313296467557	0.36664569246453793	0.4412750480754393	0.4342469453974335	0.49646042868189433	0.4458522609571902	0.3956829929159845	0.47609161404421774	0.42216419538272615	0.48001464437194574	0.4332771826393494	0.4144930531266368	0.388128268224888	0.4299122422038218	0.4714753185519604	0.46707346995750526
stool.ASD.6.2	0.46672722246690335	0.0	0.267558917932315	0.5638101360948315	0.4990679363117787	0.475169087634099	0.43711658437562945	0.49445964551331395	0.42456030147625606	0.5389333956334469	0.30363126178680755	0.4633078167259587	0.3723876224959622	0.48396761370770974	0.4879738819810543	0.5311659183824625	0.4988060393770843	0.4409515324065451	0.5305634030136556	0.39528793900179054	0.3734903608758644	0.3858368603921794	0.4369233502874395	0.37720948927012604	0.42838655406311954	0.46345988899206114	0.44456515752285747	0.33888667557922036	0.4334635105177757	0.467433422207111	0.4736863575634375	0.4030768768056693	0.40576794190142473	0.5294917562678739	0.410925441329086	0.5180290059824314	0.4995982347549184	0.41394823835628797	0.46767154252046145	0.4106579107626348	0.6105474661664326	0.4321349175860897	0.46685616372290706	0.45292425468721076	0.4058489802463943	0.42429076351109035	0.45590890503138526	0.5536589611059024	0.5492073297214413	0.4434140915505033	0.4472034187867828
stool.ASD.6.1	0.4683549499751696	0.267558917932315	0.0	0.5264241536498334	0.454767689656943	0.4223624110209599	0.44783956432807925	0.4309678146624282	0.35417990767905155	0.4780004873226437	0.30389768493925967	0.3993298692795966	0.3360536778713425	0.4747480490824193	0.4576233358606793	0.5075082604466989	0.4639484123206241	0.42311221714026087	0.4989837135395489	0.358465272877575	0.3528924868679033	0.34775818501871775	0.4711483615066899	0.4014216912694425	0.40774261874156875	0.4378858830497953	0.4534871591037053	0.3756131409644845	0.40182010793941236	0.4290133950876795	0.4259064643393465	0.4376800022521276	0.4139230771445109	0.4856481747553418	0.41953704877444337	0.48034680376876143	0.47107792433277934	0.3509098654706775	0.42865083849964025	0.3918285869848821	0.5727367009167659	0.40196735443185777	0.4482635224603203	0.43240448286250965	0.36574698332567324	0.3958877781070914	0.4190576161609214	0.5079901948747696	0.5162090290515156	0.4018323534390784	0.3996834990668834
stool.control.15S.1	0.38897835714290935	0.5638101360948315	0.5264241536498334	0.0	0.2125429791547692	0.4243981834791394	0.4294430275098683	0.39995623780103545	0.3839270844202037	0.4333445449777182	0.45823544959710083	0.3968470914498186	0.4176358393865388	0.4638512474581655	0.40679690711381683	0.35280623030285313	0.32026552205683123	0.47902174816132653	0.47936294307154526	0.4710899643240137	0.4739461684535353	0.4830904866933523	0.4965297530696352	0.47956010790117465	0.47403917659707695	0.4192135280617418	0.4670538109252647	0.49763535965629446	0.5176126756235832	0.537776693527349	0.3619362511655543	0.5629524685049946	0.5046448669441376	0.1833770930640136	0.41517545816353424	0.43985655131809	0.33952758869453065	0.44593270506046817	0.3816510167075887	0.5309971649863655	0.38169598569988267	0.39865058683407023	0.5023646605340103	0.4252955853761564	0.48556728846338065	0.4375950647341851	0.4208496412875676	0.3388126415876372	0.282054163287062	0.4737414545460578	0.4451046135754043
stool.control.15S.3	0.34064038895212523	0.4990679363117787	0.454767689656943	0.2125429791547692	0.0	0.3646116129996926	0.4025097308664946	0.36298860659874876	0.3387637738981754	0.41893595663965505	0.40584220032460966	0.3406788050678823	0.33840579759657374	0.42312435017442895	0.3426508070498491	0.32184173363352464	0.2554846347562096	0.42512473511334004	0.4256768236857875	0.41956248433328347	0.4140073648490446	0.39865981544101226	0.4592375816943147	0.4298552035466364	0.40697483136720247	0.38347105170548845	0.4042981177399111	0.452429826764286	0.4431377609923088	0.47303113656019463	0.30457723223172706	0.5013779180969437	0.4503672865465656	0.16227776955767406	0.3595113626456237	0.38214778870257493	0.2941144527363264	0.39754885279341173	0.3099022169840344	0.4684281388178954	0.38597938619861955	0.3205419217622006	0.4528572745751265	0.3521556173162817	0.4213695246346147	0.36404282201032157	0.33987821630247944	0.30867735844590793	0.25741321503354747	0.40764724221762755	0.39505427025254247
stool.control.31C.3	0.44729833440371486	0.475169087634099	0.4223624110209599	0.4243981834791394	0.3646116129996926	0.0	0.4157375198679567	0.41537789273115605	0.3394851481844592	0.395627425824413	0.40053587901353227	0.3243642514785054	0.3359364678605382	0.4351228154356178	0.37063941718800864	0.3928755118671638	0.35757439440891664	0.3924230990528853	0.42372825738099246	0.3650699269447492	0.39036843985925607	0.42183790546949457	0.4171389048072519	0.4279860707203976	0.3624492193760266	0.36707539013262125	0.4304822328528142	0.4421073009227388	0.42243716277062415	0.4563057726418204	0.4101235279008403	0.4696046261289412	0.4378041697648217	0.3661011832289418	0.3986723908806618	0.42520668739718065	0.36691563337635796	0.353837180683598	0.33599308369055136	0.46426931878500394	0.44693369746273637	0.3495772502880064	0.42936220479975606	0.34262418250668014	0.3850780825947704	0.3545739637386288	0.3554703749505555	0.405739653578861	0.3859589341434229	0.4048900419434774	0.30494939748466826
stool.ASD.22.4	0.25578733162033224	0.43711658437562945	0.44783956432807925	0.4294430275098683	0.4025097308664946	0.4157375198679567	0.0	0.3592820964549597	0.3827088117915808	0.4016276040819264	0.3916763300487	0.3491317122456373	0.3509239451671916	0.4603747535804333	0.4199298115683977	0.47368911518709816	0.423658513106724	0.47192027467225744	0.4898378010132979	0.3895415823255969	0.44411264233698045	0.4003597022799709	0.37561501971006445	0.3278405940081538	0.40945604339967173	0.42999813046944074	0.3654517131083053	0.362332974338388	0.4575714725462175	0.4799697226838689	0.292331924646322	0.4622434765939108	0.3439466866362908	0.4087060698731686	0.22263640730616446	0.458965328913127	0.40209959532064427	0.3808519607521937	0.4291557786104032	0.4667302167675332	0.5048341910951955	0.3645991279626113	0.4412880887177261	0.3616090423463406	0.4652047266268611	0.4121144723970519	0.3616631547357686	0.4418056945200005	0.4120655575004166	0.44629090479735145	0.4469151897142559
stool.control.40C.4	0.4062038994473593	0.49445964551331395	0.4309678146624282	0.39995623780103545	0.36298860659874876	0.41537789273115605	0.3592820964549597	0.0	0.2848484204350472	0.28563296030646573	0.4005871007403652	0.2763600324558681	0.3016493832483359	0.4723384182211377	0.4060911464625428	0.3980313063368173	0.36570915098311824	0.4790368277830462	0.45500370744159885	0.40822734896131524	0.4127115837748037	0.38999641853224754	0.42311038543974133	0.3669500231737456	0.42670475026064075	0.42331794465946765	0.3748608565706295	0.422003397398198	0.48196004882745225	0.48966261747326545	0.3360940077364866	0.5174515833846772	0.4040123792817252	0.39003777830534403	0.39906778516435926	0.46283151970949404	0.3905116676938582	0.37455691695805315	0.43026272458565884	0.46112321596741723	0.4784838761071915	0.3622918517124791	0.4459044051624614	0.31835466205594093	0.4358830095246077	0.39233539767229153	0.35229459537937186	0.3782301747734003	0.4003208892934462	0.439531333345586	0.42489773977092954
stool.control.40C.2	0.411612313595721	0.42456030147625606	0.35417990767905155	0.3839270844202037	0.3387637738981754	0.3394851481844592	0.3827088117915808	0.2848484204350472	0.0	0.3155136265141184	0.36351660589998114	0.25973424985492083	0.22187891381128103	0.427368409878315	0.41471347003936593	0.37889798463275726	0.33612936965363716	0.4487633238363915	0.40712977605864986	0.38505571282550766	0.37485383189858934	0.34444052415905535	0.4084953731102541	0.3853644117722916	0.40687728093234105	0.37717437236915796	0.31938807321752705	0.35363043725850735	0.41600502351489915	0.43452326502104216	0.36549449256548716	0.46342343793361873	0.39835055534476904	0.3591705562064822	0.37403771753057125	0.4407729881603622	0.353441465436526	0.3285995153736423	0.3712072400424963	0.4228236922908705	0.44550278614811356	0.3414662970332491	0.42469154313183455	0.2855897277719069	0.3749030375172194	0.35455537617670146	0.3385996541660791	0.39807064548127485	0.38468049581907593	0.3660068847329138	0.3948626240290623
stool.control.40C.5	0.4370677532340809	0.5389333956334469	0.4780004873226437	0.4333445449777182	0.41893595663965505	0.395627425824413	0.4016276040819264	0.28563296030646573	0.3155136265141184	0.0	0.4573793054888946	0.29945366361985487	0.3416592736248185	0.5056494353132103	0.461175049674068	0.41778500416777	0.37778775933519976	0.5181807168464312	0.4743451635009409	0.4474059649599233	0.4669178079127064	0.44098709791153823	0.4842683135464996	0.4341930417895923	0.4629049323586329	0.4544752934419992	0.41772913736028555	0.46259275058623417	0.4996482509713786	0.5445522448137449	0.37726946436204545	0.5360841496318369	0.45186267703701527	0.42648792916510286	0.4134139917613194	0.49387981228684313	0.3887105447568401	0.41187377471568243	0.45902366918247595	0.5181453015952538	0.47175314420634246	0.38768713856806514	0.48260956122791865	0.2830846458894657	0.47782808180357567	0.43426123031474134	0.38291964037936327	0.4174878263568775	0.46118358120932074	0.4846435579598214	0.4684708989680983
