	stool.ASD.24.1	stool.ASD.14.2	stool.ASD.7.3	stool.ASD.27.1	stool.ASD.12.2	stool.control.32C.1	stool.control.40C.1	stool.control.30C.4	stool.ASD.14.3	stool.control.15S.2	stool.control.31C.1	stool.control.15S.3	stool.ASD.22.4	stool.control.30C.3	stool.control.31C.3	stool.ASD.27.5	stool.ASD.6.2	stool.control.39C.2	stool.control.32C.2.run2	stool.ASD.12.1	stool.control.38C.2A	stool.control.15S.4	stool.ASD.22.2	stool.ASD.24.2	stool.control.40C.5	stool.ASD.7.4	stool.control.38C.1.ASU	stool.control.39C.4	stool.control.30C.1	stool.control.13S.1B	stool.control.30C.5	stool.ASD.7.2	stool.ASD.22.3	stool.ASD.14.4	stool.control.13S.2	stool.ASD.7.1	stool.control.15S.1	stool.control.39C.1	stool.control.32C.3	stool.control.39C.3	stool.ASD.6.1	stool.control.31C.2	stool.control.28S.3	stool.control.40C.4	stool.ASD.27.4	stool.control.28S.2	stool.ASD.22.1	stool.ASD.6.4	stool.ASD.27.2	stool.control.40C.2	stool.ASD.14.1
stool.ASD.24.1	0.0	0.27450151627082353	0.16897656934588234	0.3145445469908235	0.22589049357858826	0.18400991177629414	0.25587862592200006	0.40106122587841175	0.17906452764911765	0.2794625694407059	0.15810100831694118	0.15764833232347059	0.3041139984667059	0.29461598780070586	0.21656748487035296	0.152385459033	0.21701090683070587	0.20261753006135294	0.149693929856	0.1468760985972353	0.13979299116305882	0.27053081293923525	0.21272140186370586	0.11984372626941175	0.4349144184534118	0.2519509066742941	0.22487432907882354	0.34239693933217646	0.14521559911411766	0.15013281344564705	0.42450094863729415	0.2502339812464118	0.21278618765823532	0.24082478133441176	0.1914852125272941	0.20688355797494118	0.1415570852914706	0.323584597044	0.18723497720264706	0.34196269599752943	0.16198308955017646	0.22833865091935293	0.1396418120212941	0.3894647659307059	0.13291804525188233	0.2068989760715294	0.23457042659441177	0.2448708181775882	0.12516035948770587	0.3754206877918235	0.20349363575123527
stool.ASD.14.2	0.27450151627082353	0.0	0.2825902631371765	0.18689239139058825	0.2011899453091765	0.30500744488700005	0.14369183806270588	0.5443192139304117	0.3001832756404118	0.4463489032284706	0.2834773945104706	0.2928848284567648	0.2218732209062353	0.4605405640075294	0.16720274940000002	0.2828432700100588	0.2775456954937647	0.2617297922606471	0.24531373619564706	0.27329216537688233	0.2720603061937647	0.29833843558264705	0.38456404476182354	0.2098075912475294	0.5713225269411765	0.18192524685652942	0.23303928070011765	0.49231124947523536	0.23315794492517644	0.28581630632341176	0.5734617936630588	0.18057756734488234	0.22827128297799998	0.3163818829827647	0.1985234917457647	0.14130662988294118	0.3240379762953529	0.22226035730258822	0.31599086371382357	0.4940466304248236	0.295256801475	0.18673731806029414	0.2253524486665882	0.4840018359082353	0.27281053230364705	0.17657475147647061	0.4025372238867647	0.4260798520855882	0.23188765787041174	0.5226039646260588	0.1433202921040588
stool.ASD.7.3	0.16897656934588234	0.2825902631371765	0.0	0.3431922984875294	0.28301992453035296	0.13673195435911767	0.28764137562447056	0.43144050657323535	0.16011384577100002	0.24473642300470588	0.14363913935129413	0.10888826457311765	0.32437245658999997	0.32776097378282354	0.26916991167811766	0.0966805335965294	0.2652480212723529	0.26812154689194123	0.14437736382964705	0.14161229629241176	0.1825785682995294	0.3461702947404118	0.2438575151772353	0.21258556574035292	0.46534697080105886	0.24350225293511762	0.3127826151124706	0.35879725064641177	0.19887808388388234	0.167291490614	0.4566624739702353	0.2396194622257059	0.2473388215848235	0.2785032209957059	0.2388966086470588	0.20517490592023527	0.1307230205857059	0.34278876648494117	0.14720834484535295	0.36575914151388234	0.25186731762852943	0.2803642400642941	0.17376768500552942	0.40131447695976474	0.12621913221435294	0.2769957955141176	0.26374900904288234	0.2494859699388824	0.16699739668217647	0.40604574339829413	0.2247397964645294
stool.ASD.27.1	0.3145445469908235	0.18689239139058825	0.3431922984875294	0.0	0.20063665400670588	0.34984297269464704	0.19172183622105882	0.5821934862834706	0.3901714610787647	0.5021770508432942	0.33815507429	0.3282262555166471	0.27430570584870584	0.5091806807875294	0.1443473986362353	0.33253092478017643	0.2592852651074118	0.2820303565478235	0.2706453628255294	0.3245507714215883	0.31972614866117643	0.28397743713441176	0.42214420355405885	0.22582543832741175	0.6134197667721177	0.2081620727062941	0.2618535190251765	0.5307208959757059	0.2850634644495294	0.3028991029210588	0.6062031647044706	0.2661877716442941	0.25041930649611766	0.34599929025452936	0.2095376743965882	0.20790617596541178	0.3746694268228823	0.20690290442976472	0.36434977762135295	0.5275042466285883	0.33140239591276466	0.1641313680134706	0.24945437882658822	0.5794847653707058	0.2914094382458824	0.1939357851997647	0.4526419416822941	0.46888610220217647	0.24610523821523528	0.5598723902067646	0.2403337730854706
stool.ASD.12.2	0.22589049357858826	0.2011899453091765	0.28301992453035296	0.20063665400670588	0.0	0.2972772573871177	0.23830984080105883	0.527308176737	0.28150750696229415	0.405146107674	0.2620177783284706	0.280958835792647	0.28156745919517645	0.4482338728341177	0.15123040523258824	0.25791169982735296	0.27114995694905886	0.2248446535107647	0.25318735375752943	0.25040539857005883	0.2295560078137647	0.22005355492135292	0.34723160095229416	0.1802433229244706	0.550896331663647	0.17229837974229412	0.21110488386470588	0.4563678515733529	0.1856444802964706	0.2338919611952941	0.5586175596771765	0.2582225406604117	0.23130492072058823	0.2692246583835882	0.14403164557164705	0.22592872111611761	0.2982178520021765	0.19150262268411766	0.3055616622482942	0.46618325728011767	0.2456955546412353	0.20477612016864705	0.2609332489630588	0.48109532159623525	0.23853659507811764	0.17070032276270589	0.3765935595019412	0.40129105140099997	0.2287413381757059	0.4887717720168824	0.19402619864217646
stool.control.32C.1	0.18400991177629414	0.30500744488700005	0.13673195435911767	0.34984297269464704	0.2972772573871177	0.0	0.28973749301382357	0.3902165687747059	0.1699888231935294	0.21642991791782357	0.15218508467570588	0.11916753719823531	0.3665810471722941	0.280719627928647	0.2823291051042941	0.11819547476964706	0.24455638692817647	0.2596332213137647	0.11469502701841179	0.15518556453152943	0.17685533348629412	0.372293748712	0.2250900361982353	0.24446718982488233	0.41705511704900006	0.2921832785956471	0.29290800375417647	0.3192072808038824	0.2311551241984118	0.18770163802476472	0.4110902404733529	0.27150109457247057	0.2971119235344118	0.30423265060635296	0.2592215687546471	0.2427224158304118	0.12870118418258825	0.3629333370574706	0.05581854775188234	0.32020763309017647	0.22749654406835296	0.2778709233835295	0.15763064471241178	0.36314670510594116	0.10576016274888236	0.278950826197	0.26842646169329415	0.18578513550458822	0.1471879857424706	0.3663256335487059	0.23560861692035295
stool.control.40C.1	0.25587862592200006	0.14369183806270588	0.28764137562447056	0.19172183622105882	0.23830984080105883	0.28973749301382357	0.0	0.5103048537394705	0.31707088736288236	0.4413792561169412	0.24878454400447061	0.2785428922505294	0.2284213940504706	0.42884340293470585	0.18620213219411766	0.25481816706017646	0.19271855487541176	0.20857414629594118	0.22638431210517646	0.23904573956723532	0.2320356760032941	0.33447117941652943	0.3451872026558236	0.18155990638517647	0.552243169576	0.207211900791	0.19486956901764707	0.44953791742417654	0.2141658864025882	0.2653627545372941	0.5383700999332942	0.20016192889405884	0.15926520013035295	0.3494673002906471	0.19464690616529412	0.1412578630957647	0.33756198373770585	0.27148162832682354	0.30528485612817646	0.45607090558694113	0.25972550722382354	0.150810587781	0.20415790787988236	0.44980107383482354	0.2571512617305882	0.22810296782670592	0.3753475943867647	0.38906126142700004	0.2077943644995882	0.4854921347685294	0.19739619197947061
stool.control.30C.4	0.40106122587841175	0.5443192139304117	0.43144050657323535	0.5821934862834706	0.527308176737	0.3902165687747059	0.5103048537394705	0.0	0.4377890146001176	0.3453209711291176	0.3743816268732353	0.4334549673577647	0.576024671271	0.16386657402311763	0.5160860357824117	0.4284545129362353	0.418655495979	0.43789161189129405	0.43966133410700003	0.3811328122832941	0.41440810503570585	0.5661400341101176	0.2846671919417647	0.45851589219676475	0.07485187003641175	0.5463747134184707	0.43247113561805883	0.16523595676835295	0.46054649073629406	0.431677003661353	0.050422593030529414	0.5310046207529411	0.4895852386932354	0.5223752613711765	0.4802021303922941	0.5092600503611177	0.4012949434318823	0.5917369407228824	0.36465930491894116	0.12363870444123527	0.4044330531062353	0.49498222590835295	0.4342930221833529	0.15283549487300002	0.4180973209444118	0.5025451603722941	0.26608564533823525	0.29013887179964704	0.4432401511014118	0.09621858635270587	0.4828897827990588
stool.ASD.14.3	0.17906452764911765	0.3001832756404118	0.16011384577100002	0.3901714610787647	0.28150750696229415	0.1699888231935294	0.31707088736288236	0.4377890146001176	0.0	0.21065845304829411	0.1850690721712353	0.15190922400847057	0.3941024870104118	0.3141815212541765	0.2999949973411177	0.14656505577647058	0.30904329052005886	0.25475897784	0.19649948293770592	0.18469884565929415	0.17676735050017645	0.3256136459469412	0.23803749486682357	0.26051413180311767	0.44566089084441185	0.2918322248912941	0.3085010896659412	0.368479070654	0.19517859363170592	0.1908576567454706	0.4585110188686471	0.3085706566638824	0.3063240782601765	0.25810767445694116	0.27948840438405886	0.2736116139444118	0.1395715782192941	0.3806520455967647	0.17562783060294118	0.369338177095	0.25594928292835295	0.3170535077684705	0.1885235406179412	0.37382445005417647	0.158608611281	0.28459223692911767	0.26380867333388236	0.2612403518201176	0.1795177567894118	0.39172323147152943	0.22144866927658824
stool.control.15S.2	0.2794625694407059	0.4463489032284706	0.24473642300470588	0.5021770508432942	0.405146107674	0.21642991791782357	0.4413792561169412	0.3453209711291176	0.21065845304829411	0.0	0.3002295060794118	0.2158826812137059	0.48013309819517647	0.26928034206376467	0.4134518983202353	0.24246126158523534	0.40021987933847064	0.3812075201412353	0.2922358731182353	0.30012169625088236	0.2925484204929412	0.4343007575686471	0.31127023070688237	0.3683960615050588	0.35207465948529415	0.4153754638424118	0.4257369006111764	0.3310634780485294	0.31592558953705885	0.29443964164294123	0.3560867949955294	0.40464448667417646	0.3992204835244706	0.3581829014482941	0.3945647481302353	0.3804871261565883	0.17455455486935295	0.48243785953823526	0.19302275983488237	0.3182269006485883	0.36618452347335295	0.43437174767194114	0.3007797004125882	0.35587046606588235	0.2530149317291765	0.39489746596611774	0.32279277421452945	0.14665336027323533	0.29184316273170585	0.34441017951711766	0.36455888087182353
